PWY_NAME	PWY_COMMON_NAME	NUM_REACTIONS	NUM_COVERED_REACTIONS	ORF_COUNT
PWY-6744	hydrogen production I	1	1	13
PWY-6780	hydrogen production VI	2	2	172
PWY-6758	hydrogen production II	1	1	64
PWY-6785	hydrogen production VIII	5	5	45
PWY-6772	hydrogen production V	2	2	17
PWY-5250	methanogenesis from trimethylamine	2	1	40
METH-ACETATE-PWY	methanogenesis from acetate	6	5	79
METHANOGENESIS-PWY	methanogenesis from CO2	6	5	32
P21-PWY	pentose phosphate pathway (partial)	3	3	188
NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch)	5	5	276
OXIDATIVEPENT-PWY	pentose phosphate pathway (oxidative branch)	4	4	71
PWY-101	photosynthesis light reactions	4	4	43
PWY-7115	C4 photosynthetic carbon assimilation cycle, NAD-ME type	8	6	338
PWY-241	C4 photosynthetic carbon assimilation cycle, NADP-ME type	4	3	219
PWY-7117	C4 photosynthetic carbon assimilation cycle, PEPCK type	9	6	352
PWY-6970	acetyl-CoA biosynthesis II (NADP-dependent pyruvate dehydrogenase)	1	1	13
PWY-6389	(S)-acetoin biosynthesis	3	2	163
PWY-5482	pyruvate fermentation to acetate II	3	3	57
PWY-5480	pyruvate fermentation to ethanol I	3	3	167
PWY-6587	pyruvate fermentation to ethanol III	3	3	209
PWY-5481	pyruvate fermentation to lactate	1	1	26
CENTFERM-PWY	pyruvate fermentation to butanoate	7	7	673
P108-PWY	pyruvate fermentation to propionate I	7	6	377
PWY-6588	pyruvate fermentation to acetone	5	4	158
PWY-6390	(S,S)-butanediol biosynthesis	1	1	5
PWY-5951	(R,R)-butanediol biosynthesis	1	1	4
FERMENTATION-PWY	mixed acid fermentation	16	15	945
PWY-5677	succinate fermentation to butyrate	8	6	306
P122-PWY	heterolactic fermentation	18	17	823
PWY-6583	pyruvate fermentation to butanol I	8	6	802
P283-PWY	hydrogen oxidation I (aerobic)	1	1	68
PWY-5382	hydrogen oxidation II (aerobic, NAD)	1	1	64
PWY-6512	hydrogen oxidation III (anaerobic, NADP)	1	1	13
PWY-5913	TCA cycle VI (obligate autotrophs)	11	11	1063
REDCITCYC	TCA cycle III (helicobacter)	9	9	638
P105-PWY	TCA cycle IV (2-oxoglutarate decarboxylase)	11	11	827
TCA	TCA cycle I (prokaryotic)	10	10	701
PWY66-398	TCA cycle VII (mammalian)	10	10	619
PWY-6969	TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)	12	11	932
PWY-3781	aerobic respiration (cytochrome c)	4	4	1050
PWY-4601	arsenate reduction (respiratory)	1	1	14
ANARESP1-PWY	respiration (anaerobic)	13	12	791
PWY-6529	chlorate reduction	2	1	3
PWY-6530	perchlorate reduction	2	1	3
ANAGLYCOLYSIS-PWY	glycolysis III (glucokinase)	10	10	694
GLYCOLYSIS	glycolysis I	11	11	859
