PWY_NAME	PWY_COMMON_NAME	NUM_REACTIONS	NUM_COVERED_REACTIONS	ORF_COUNT
PWY-6744	hydrogen production I	1	1	1
PWY-6758	hydrogen production II	1	1	4
PWY-6780	hydrogen production VI	2	2	3
PWY-6785	hydrogen production VIII	5	5	11
PWY-6772	hydrogen production V	2	2	5
PWY-5209	methyl-coenzyme M oxidation to CO2	6	1	3
METHANOGENESIS-PWY	methanogenesis from CO2	6	1	3
METH-ACETATE-PWY	methanogenesis from acetate	6	3	11
OXIDATIVEPENT-PWY	pentose phosphate pathway (oxidative branch)	4	2	6
P21-PWY	pentose phosphate pathway (partial)	3	3	21
NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch)	5	5	33
PWY-7115	C4 photosynthetic carbon assimilation cycle, NAD-ME type	8	6	35
PWY-101	photosynthesis light reactions	4	3	7
PWY-241	C4 photosynthetic carbon assimilation cycle, NADP-ME type	4	3	16
PWY-7117	C4 photosynthetic carbon assimilation cycle, PEPCK type	9	6	38
PWY-5939	(R)-acetoin biosynthesis II	2	2	23
CENTFERM-PWY	pyruvate fermentation to butanoate	7	4	194
PWY-5481	pyruvate fermentation to lactate	1	1	6
PWY-6587	pyruvate fermentation to ethanol III	3	3	18
PWY-5480	pyruvate fermentation to ethanol I	3	3	24
P122-PWY	heterolactic fermentation	18	14	102
FERMENTATION-PWY	mixed acid fermentation	16	15	151
PWY-6583	pyruvate fermentation to butanol I	8	4	211
PWY-5382	hydrogen oxidation II (aerobic, NAD)	1	1	4
P283-PWY	hydrogen oxidation I (aerobic)	1	1	3
PWY-6512	hydrogen oxidation III (anaerobic, NADP)	1	1	1
REDCITCYC	TCA cycle III (helicobacter)	9	8	101
TCA	TCA cycle I (prokaryotic)	10	9	53
PWY-6969	TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)	12	11	130
PWY-5690	TCA cycle II (plants and fungi)	9	8	48
PWY-5913	TCA cycle VI (obligate autotrophs)	11	11	94
PWY-3781	aerobic respiration (cytochrome c)	4	4	120
ANARESP1-PWY	respiration (anaerobic)	13	11	129
PWY-4601	arsenate reduction (respiratory)	1	1	1
ANAGLYCOLYSIS-PWY	glycolysis III (glucokinase)	10	9	80
PWY66-400	glycolysis VI (mammalian)	10	9	68
PWY-1042	glycolysis IV (plant cytosol)	10	9	63
PWY-5484	glycolysis II (from fructose-6P)	10	10	85
PWY-6118	glycerol-3-phosphate shuttle	2	1	5
PWY0-1329	succinate to cytochrome bo oxidase electron transfer	2	2	23
PWY0-1335	NADH to cytochrome bo oxidase electron transfer	2	2	56
PWY0-1544	proline to cytochrome bo oxidase electron transfer	2	2	14
PWY-6992	1,5-anhydrofructose degradation	2	1	6
PWY-7118	chitin degradation to ethanol	6	4	32
GLYOXYLATE-BYPASS	glyoxylate cycle	6	6	39
ENTNER-DOUDOROFF-PWY	Entner-Doudoroff pathway I	2	2	3
PWY-5723	Rubisco shunt	10	10	63
PWY-4621	arsenate detoxification II (glutaredoxin)	1	1	3
PWY-6421	arsenate detoxification III (mycothiol)	4	1	3
PWY-4521	arsenite oxidation (respiratory)	1	1	1
PWY0-1299	arginine dependent acid resistance	1	1	10
PWY0-1305	glutamate dependent acid resistance	1	1	7
P641-PWY	phenylmercury acetate degradation	2	1	8
PWY-6842	glutathione-mediated detoxification II	8	2	33
DETOX1-PWY	superoxide radicals degradation	2	2	11
PWY-6646	fluoroacetate degradation	1	1	2
PWY-1622	formaldehyde assimilation I (serine pathway)	13	8	49
PWY-5392	reductive TCA cycle II	12	9	112
P42-PWY	incomplete reductive TCA cycle	7	7	97
CODH-PWY	reductive acetyl coenzyme A pathway	8	5	25
PWY-5743	3-hydroxypropionate cycle	11	4	20
PWY-5789	3-hydroxypropionate/4-hydroxybutyrate cycle	17	6	173
PWY-5493	reductive monocarboxylic acid cycle	2	2	8
PWYQT-4429	CO2 fixation into oxaloacetate (anapleurotic)	2	2	12
PWY-1722	formaldehyde oxidation V (tetrahydrofolate pathway)	4	2	14
PWY-1801	formaldehyde oxidation II (glutathione-dependent)	3	2	11
PWY-1881	formate oxidation to CO2	1	1	29
PWY0-1317	L-lactaldehyde degradation (aerobic)	2	1	9
PWY-5386	methylglyoxal degradation I	3	2	15
PWY-901	methylglyoxal degradation II	2	1	7
PWY-5458	methylglyoxal degradation V	3	1	11
MGLDLCTANA-PWY	methylglyoxal degradation VI	4	1	14
PWY-5451	acetone degradation I (to methylglyoxal)	4	1	6
PWY-5533	acetone degradation II (to acetoacetate)	2	1	6
PWY-6837	fatty acid beta-oxidation V (unsaturated, odd number, di-isomerase-dependent)	5	1	4
PWY-2724	alkane oxidation	6	1	7
FAO-PWY	fatty acid &beta;-oxidation I	7	5	80
PWY0-1337	oleate &beta;-oxidation	3	1	1
PWY-5138	unsaturated, even numbered fatty acid &beta;-oxidation	6	4	15
PWY66-387	fatty acid &alpha;-oxidation II	6	4	38
PWY-2501	fatty acid &alpha;-oxidation I	4	1	7
PWY3DJ-11470	sphingosine and sphingosine-1-phosphate metabolism	5	1	3
LIPAS-PWY	triacylglycerol degradation	4	2	3
PWY-5535	acetate formation from acetyl-CoA II	1	1	1
PWY0-1312	acetate formation from acetyl-CoA I	2	2	9
GLYCOLATEMET-PWY	glycolate and glyoxylate degradation I	4	3	9
GLYOXDEG-PWY	glycolate and glyoxylate degradation II	2	2	10
PROPIONMET-PWY	methylmalonyl pathway	3	2	12
PWY-6373	acrylate degradation	4	1	1
PWY-2361	3-oxoadipate degradation	2	1	1
PWY-5177	glutaryl-CoA degradation	5	4	164
PYRUVDEHYD-PWY	pyruvate decarboxylation to acetyl CoA	3	3	30
PWY0-1313	acetate conversion to acetyl-CoA	1	1	11
GLUCONSUPER-PWY	D-gluconate degradation	1	1	2
PWY-5162	2-oxopentenoate degradation	3	3	5
PWY66-221	nicotine degradation III	18	4	6
PWY66-201	nicotine degradation IV	16	3	7
P181-PWY	nicotine degradation I	16	4	12
PWY-7112	4-hydroxy-2-nonenal detoxification	4	2	33
PWY-4061	glutathione-mediated detoxification I	5	2	33
PWY66-241	bupropion degradation	5	1	6
P344-PWY	acrylonitrile degradation	3	2	8
P221-PWY	octane oxidation	5	3	34
PWY-5744	glyoxylate assimilation	11	2	8
PWY-6518	glycocholate metabolism (bacteria)	7	1	2
PWY-723	alkylnitronates degradation	2	2	8
PWY-6756	S-methyl-5'-thioadenosine degradation II	1	1	1
PWY-7181	pyrimidine deoxyribonucleosides degradation	3	2	8
PWY0-1295	pyrimidine ribonucleosides degradation	2	1	8
PWY-7185	UTP and CTP dephosphorylation I	7	5	20
PWY-6430	thymine degradation	3	1	1
PWY-6607	guanosine nucleotides degradation I	4	3	15
PWY-6608	guanosine nucleotides degradation III	4	4	22
SALVADEHYPOX-PWY	adenosine nucleotides degradation II	5	4	30
PWY-6596	adenosine nucleotides degradation I	8	6	27
PWY-6617	adenosine nucleotides degradation III	1	1	1
PWY0-1296	purine ribonucleosides degradation	5	4	16
PWY-7179	purine deoxyribonucleosides degradation	4	3	16
PWY-6019	pseudouridine degradation	2	1	6
P164-PWY	purine nucleobases degradation I (anaerobic)	17	7	56
PWY-5497	purine nucleobases degradation II (anaerobic)	22	9	67
PCPDEG-PWY	pentachlorophenol degradation	6	1	1
12DICHLORETHDEG-PWY	1,2-dichloroethane degradation	4	2	8
CATECHOL-ORTHO-CLEAVAGE-PWY	catechol degradation to &beta;-ketoadipate	4	2	3
PWY-5055	nicotinate degradation III	9	2	5
P3-PWY	gallate degradation III (anaerobic)	11	4	61
PWY-6183	salicylate degradation I	1	1	1
PWY-6193	3-chlorocatechol degradation II (ortho)	5	1	10
PWY-6190	2,4-dichlorotoluene degradation	8	2	1
PWY-6107	chlorosalicylate degradation	7	3	2
SHIKIMATEDEG-PWY	shikimate degradation I	2	1	1
PWY-5691	urate degradation to allantoin	3	1	1
PWY0-321	phenylacetate degradation I (aerobic)	9	3	17
PWY-7046	4-coumarate degradation (anaerobic)	6	2	13
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	protocatechuate degradation II (ortho-cleavage pathway)	4	3	3
PWY-5169	cyanurate degradation	3	1	5
PARATHION-DEGRADATION-PWY	parathion degradation	2	1	2
PWY-6184	methylsalicylate degradation	2	2	1
PWY-5489	methyl parathion degradation	1	1	2
PWY-5490	paraoxon degradation	1	1	2
PWY-5988	wound-induced proteolysis I	1	1	21
PWY-6018	seed germination protein turnover	1	1	21
PWY3O-4108	tyrosine degradation III	4	2	12
TYRFUMCAT-PWY	tyrosine degradation I	5	3	13
PWY-5057	valine degradation II	3	2	21
VALDEG-PWY	valine degradation I	8	5	30
CITRULLINE-DEG-PWY	citrulline degradation	2	1	2
ORN-AMINOPENTANOATE-CAT-PWY	ornithine degradation I (proline biosynthesis)	1	1	3
PWY-5082	methionine degradation III	3	1	11
METHIONINE-DEG1-PWY	methionine degradation I (to homocysteine)	3	2	13
PWY-7158	phenylalanine degradation V	3	2	6
PWY-5079	phenylalanine degradation III	4	2	12
PWY-6318	phenylalanine degradation IV (mammalian, via side chain)	9	4	24
PHENYLALANINE-DEG1-PWY	phenylalanine degradation I (aerobic)	3	2	5
GLYCLEAV-PWY	glycine cleavage	3	3	25
ASPARAGINE-DEG1-PWY	asparagine degradation I	1	1	8
HYDROXYPRODEG-PWY	4-hydroxyproline degradation I	4	1	7
PWY-5159	4-hydroxyproline degradation II	4	2	5
PWY-5078	isoleucine degradation II	3	2	21
ILEUDEG-PWY	isoleucine degradation I	6	3	38
