short_name	long_name	Columnar	Pustular	Smooth
LYSDEGII-PWY	lysine degradation III (LYSDEGII-PWY)	0	6	5
PWY-6000	gamma-linolenate biosynthesi (PWY-6000)	28	203	73
PWY-7185	UTP and CTP dephosphorylation I (PWY-7185)	20	142	81
PWY-6724	starch degradation II (PWY-6724)	12	56	34
PWY-6948	sitosterol degradation to andr (PWY-6948)	24	161	58
PWY-6733	sporopollenin precursor biosynthesis (PWY-6733)	0	23	10
SUCSYN-PWY	sucrose biosynthesis (SUCSYN-PWY)	55	415	154
PWY-5274	sulfide oxidation II (sulfide  (PWY-5274)	0	1	0
PWY-6728	methylaspartate cycle (PWY-6728)	0	1107	359
PWY-7205	CMP phosphorylation (PWY-7205)	4	31	17
PWY4FS-12	VTC2 cycle (PWY4FS-12)	0	5	1
PWY-241	C4 photosynthetic carbon assim (PWY-241)	16	219	91
PWY-5049	rosmarinic acid biosynthesis II (PWY-5049)	1	2	0
FESULFOX-PWY	sulfur oxidation II (Fe+3 (FESULFOX-PWY)	1	9	1
PWY-5364	sulfur reduction II (via polysulfide) (PWY-5364)	0	9	7
PWY-6519	7-keto-8-aminopelargonate biosynthesis I (PWY-6519)	32	450	168
PWY-6167	flavin biosynthesis II (archaea) (PWY-6167)	0	111	45
PWY-5269	cardiolipin biosynthesis II (PWY-5269)	16	57	20
PWY-5652	2-amino-3-carboxymuconate semi (PWY-5652)	0	5	0
PWY-5030	histidine degradation III (PWY-5030)	16	128	54
PWY-5481	pyruvate fermentation to lactate (PWY-5481)	6	26	8
PWY-4381	fatty acid biosynthesis initiation I (PWY-4381)	0	223	97
PWY-1121	suberin monomers biosynthesis (PWY-1121)	6	54	17
PWY-6608	guanosine nucleotides degradation III (PWY-6608)	22	125	60
GLYSYN-PWY	glycine biosynthesis I (GLYSYN-PWY)	8	61	32
PWY-5871	ubiquinol-9 biosynthesis (eukaryotic) (PWY-5871)	0	24	11
PWY-6987	lipoate biosynthesis and incor (PWY-6987)	8	55	13
ARGDEG-III-PWY	arginine degradation IV (argin (ARGDEG-III-PWY)	14	60	21
PWY-5940	streptomycin biosynthesis (PWY-5940)	21	110	47
PUTDEG-PWY	putrescine degradation I (PUTDEG-PWY)	0	5	0
PWY0-1241	ADP-L-glycero-beta-D- (PWY0-1241)	12	57	27
PWY-6587	pyruvate fermentation to ethanol III (PWY-6587)	18	209	89
PWY-7002	4-hydroxyacetophenone degradation (PWY-7002)	0	7	2
PWY-6890	4-amino-2-methyl-5-diphosphome (PWY-6890)	1	4	4
PWY-5927	(4S)-carveol and (4S (PWY-5927)	0	0	1
PWY-5055	nicotinate degradation III (PWY-5055)	5	14	5
PWY-5833	CDP-3,6-dideoxyhexose biosynthesis (PWY-5833)	3	23	8
LARABITOLUTIL-PWY	xylitol degradation (LARABITOLUTIL-PWY)	0	44	23
GLYOXDEG-PWY	glycolate and glyoxylate degradation II (GLYOXDEG-PWY)	10	93	35
PWY-6148	tetrahydromethanopterin biosynthesis (PWY-6148)	0	0	3
METHIONINE-DEG1-PWY	methionine degradation I (to h (METHIONINE-DEG1-PWY)	13	161	69
PWY-5703	urea degradation I (PWY-5703)	5	14	6
PWY-5248	methanogenesis from dimethylamine (PWY-5248)	0	0	1
PWY-5668	cardiolipin biosynthesis I (PWY-5668)	16	57	20
P121-PWY	adenine and adenosine salvage I (P121-PWY)	6	37	17
PWY-5839	menaquinol-7 biosynthesis (PWY-5839)	11	55	15
PWY-5493	reductive monocarboxylic acid cycle (PWY-5493)	8	64	37
PWY-6854	ethylene biosynthesis III (microbes) (PWY-6854)	0	46	29
PWY-6805	cellulose degradation I (cellulosome) (PWY-6805)	0	57	33
MANNIDEG-PWY	mannitol degradation I (MANNIDEG-PWY)	0	0	1
PWY0-321	phenylacetate degradation I (aerobic) (PWY0-321)	17	304	93
PWY-5403	betaxanthin biosynthesis (via dopamine) (PWY-5403)	0	16	4
PWY-7053	docosahexanoate biosynthesis I (PWY-7053)	43	378	146
TRPSYN-PWY	tryptophan biosynthesis (TRPSYN-PWY)	24	292	119
PWY-5392	reductive TCA cycle II (PWY-5392)	112	758	259
PWY-743	thiocyanate degradation II (PWY-743)	0	1	2
PWY-6840	homoglutathione biosynthesis (PWY-6840)	1	40	6
PWY-7052	cyanophycin metabolism (PWY-7052)	3	7	2
PWY-5941	glycogen degradation II (PWY-5941)	28	177	79
PWY-6116	mannosylfructose biosynthesis (PWY-6116)	0	6	1
PWY3O-355	stearate biosynthesis III (fungi) (PWY3O-355)	30	397	145
TEICHOICACID-PWY	teichoic acid (poly-glycerol)  (TEICHOICACID-PWY)	14	75	37
PWY-6986	alginate degradation (PWY-6986)	2	20	0
PWY-5046	2-oxoisovalerate decarboxylati (PWY-5046)	20	191	69
PWY-1801	formaldehyde oxidation II (glu (PWY-1801)	11	48	15
PWY-7054	N-acetylglutaminylgluta (PWY-7054)	4	42	26
HOMOSER-THRESYN-PWY	threonine biosynthesis from homoserine (HOMOSER-THRESYN-PWY)	10	97	45
PWY-6060	malonate degradation II (bioti (PWY-6060)	0	5	1
PWY-5905	hypusine biosynthesis (PWY-5905)	0	21	8
2PHENDEG-PWY	phenylethylamine degradation I (2PHENDEG-PWY)	2	0	0
PWY-6124	inosine-5'-phosphate biosynthesis II (PWY-6124)	21	224	98
PWY-6966	methanol oxidation to formaldehyde I (PWY-6966)	0	1	1
TREDEGLOW-PWY	trehalose degradation I (low osmolarity) (TREDEGLOW-PWY)	15	38	16
PWY-6689	tRNA splicing (PWY-6689)	0	6	0
DARABCAT-PWY	D-arabinose degradation II (DARABCAT-PWY)	17	92	45
P184-PWY	protocatechuate degradation I  (P184-PWY)	0	5	0
PWY-5155	beta-alanine biosynthesis III (PWY-5155)	2	14	4
PWY66-201	nicotine degradation IV (PWY66-201)	7	18	3
PWY-6978	plastoquinol-9 biosynthesis II (PWY-6978)	0	12	4
PWY0-1465	D-malate degradation (PWY0-1465)	0	17	7
HEME-BIOSYNTHESIS-II	heme biosynthesis from uroporp (HEME-BIOSYNTHESIS-II)	26	144	72
PWY-2723	trehalose degradation V (PWY-2723)	0	54	0
2OXOBUTYRATECAT-PWY	2-oxobutanoate degradation II (2OXOBUTYRATECAT-PWY)	0	1	0
PWY-1861	formaldehyde assimilation II ( (PWY-1861)	0	468	205
