PWY_NAME	PWY_COMMON_NAME	NUM_REACTIONS	NUM_COVERED_REACTIONS	ORF_COUNT
PWY-6744	hydrogen production I	1	1	3
PWY-6758	hydrogen production II	1	1	34
PWY-6780	hydrogen production VI	2	2	77
PWY-6772	hydrogen production V	2	2	4
PWY-6785	hydrogen production VIII	5	5	23
PWY-5248	methanogenesis from dimethylamine	2	1	1
PWY-5250	methanogenesis from trimethylamine	2	1	23
METH-ACETATE-PWY	methanogenesis from acetate	6	5	38
METHANOGENESIS-PWY	methanogenesis from CO2	6	4	20
P21-PWY	pentose phosphate pathway (partial)	3	3	78
NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch)	5	5	120
OXIDATIVEPENT-PWY	pentose phosphate pathway (oxidative branch)	4	4	22
PWY-181	photorespiration	9	6	90
PWY-241	C4 photosynthetic carbon assimilation cycle, NADP-ME type	4	3	91
PWY-7117	C4 photosynthetic carbon assimilation cycle, PEPCK type	9	8	163
PWY-7115	C4 photosynthetic carbon assimilation cycle, NAD-ME type	8	8	161
PWY-101	photosynthesis light reactions	4	4	26
PWY-5172	acetyl-CoA biosynthesis III (from citrate)	1	1	2
PWY-6970	acetyl-CoA biosynthesis II (NADP-dependent pyruvate dehydrogenase)	1	1	6
P108-PWY	pyruvate fermentation to propionate I	7	6	144
PWY-6588	pyruvate fermentation to acetone	5	3	58
PWY-6587	pyruvate fermentation to ethanol III	3	3	89
PWY-5482	pyruvate fermentation to acetate II	3	3	27
PWY-5480	pyruvate fermentation to ethanol I	3	3	78
PWY-5481	pyruvate fermentation to lactate	1	1	8
CENTFERM-PWY	pyruvate fermentation to butanoate	7	7	206
PWY-5951	(R,R)-butanediol biosynthesis	1	1	1
PWY-6390	(S,S)-butanediol biosynthesis	1	1	1
PWY-5677	succinate fermentation to butyrate	8	5	83
P122-PWY	heterolactic fermentation	18	17	347
PWY-6583	pyruvate fermentation to butanol I	8	5	252
FERMENTATION-PWY	mixed acid fermentation	16	16	338
PWY-5382	hydrogen oxidation II (aerobic, NAD)	1	1	34
P283-PWY	hydrogen oxidation I (aerobic)	1	1	23
PWY-6512	hydrogen oxidation III (anaerobic, NADP)	1	1	3
REDCITCYC	TCA cycle III (helicobacter)	9	8	218
TCA	TCA cycle I (prokaryotic)	10	9	217
PWY-6969	TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)	12	11	319
