ReadName	ReadLength	EReversevalue	AlignmentLength	Begin	End	Strand	Identity	ReferenceSequenceName	Begin	End
HISWH7H02GQKM3	233nt	5.2eNegative14	86	123	208	Positive	81.40	UCD_contig_1	2190981	2191066
HISWH7H02GQKM3	233nt	2.5eNegative16	90	122	211	Positive	82.22	UCD_contig_1	3248130	3248219
HISWH7H02I7AMK	261nt	9.8eNegative20	180	70	249	Positive	75.56	UCD_contig_1	1629727	1629906
HISWH7H02JSV26	335nt	4.5eNegative08	52	264	315	Positive	84.62	UCD_contig_1	1989495	1989546
HISWH7H02IOGBC	263nt	9.8eNegative20	180	70	249	Positive	75.56	UCD_contig_1	1629727	1629906
HISWH7H02JG31O	384nt	1.8eNegative11	277	291	15	Negative	70.76	UCD_contig_1	1095872	1096148
HISWH7H02IYFO0	320nt	4.3eNegative08	61	18	78	Positive	81.97	UCD_contig_1	1961593	1961653
HISWH7H02GX4KV	527nt	5.1eNegative09	42	253	294	Positive	90.48	UCD_contig_1	3394618	3394659
HISWH7H02JROXA	431nt	1.4eNegative12	54	366	313	Negative	88.89	UCD_contig_1	880861	880914
HISWH7H02JAIRY	379nt	1.2eNegative12	63	134	196	Positive	85.71	UCD_contig_1	3045837	3045899
HISWH7H02I4H6O	152nt	3.6eNegative10	49	72	24	Negative	87.76	UCD_contig_1	3064091	3064139
HISWH7H02JZG6S	524nt	3.7eNegative21	204	262	465	Positive	75.00	UCD_contig_1	1096946	1097149
HISWH7H02H4PUT	518nt	5.8eNegative16	159	400	242	Negative	75.47	UCD_contig_1	882885	883043
HISWH7H02IM35H	475nt	7.2eNegative04	81	88	168	Positive	75.31	UCD_contig_1	3305608	3305688
HISWH7H02IM35H	475nt	3.2eNegative10	53	121	173	Positive	86.79	UCD_contig_1	1190874	1190926
HISWH7H02IM35H	475nt	4.6eNegative09	54	174	121	Negative	85.19	UCD_contig_1	3169246	3169299
HISWH7H02JAS02	436nt	2.3eNegative07	72	9	80	Positive	79.17	UCD_contig_1	283048	283119
HISWH7H02JMTVD	569nt	6.1eNegative05	53	273	325	Positive	81.13	UCD_contig_1	2120180	2120232
HISWH7H02FQ9WF	528nt	5.1eNegative09	60	432	491	Positive	83.33	UCD_contig_1	2122193	2122252
HISWH7H02GWE01	319nt	1.0eNegative12	78	180	103	Negative	82.05	UCD_contig_1	1601684	1601761
HISWH7H02INFTL	608nt	3.7eNegative14	111	608	498	Negative	78.38	UCD_contig_1	1037042	1037152
HISWH7H02IPG8K	488nt	6.1eNegative12	47	58	12	Negative	91.49	UCD_contig_1	3168947	3168993
HISWH7H02I0M4C	390nt	2.0eNegative33	240	245	6	Negative	76.67	UCD_contig_1	305533	305772
HISWH7H02IT2PS	365nt	7.5eNegative18	108	310	203	Negative	80.56	UCD_contig_1	1310928	1311035
HISWH7H02JSXYG	535nt	1.4eNegative09	170	339	170	Negative	75.00	UCD_contig_1	1036887	1037057
HISWH7H02GI5DC	637nt	2.1eNegative12	78	386	309	Negative	82.05	UCD_contig_1	1904311	1904388
HISWH7H02GPBVP	639nt	4.3eNegative10	53	262	210	Negative	86.79	UCD_contig_1	979331	979383
HISWH7H02JK6S9	367nt	3.2eNegative39	244	4	247	Positive	77.87	UCD_contig_1	1168095	1168338
HISWH7H02JK6S9	367nt	2.0eNegative18	247	19	265	Positive	72.87	UCD_contig_1	253115	253361
HISWH7H02FHQ0F	636nt	3.3eNegative07	42	502	461	Negative	88.10	UCD_contig_1	1818521	1818562
HISWH7H02G8L4C	637nt	1.0eNegative14	151	437	287	Negative	75.50	UCD_contig_1	1293248	1293398
HISWH7H02HJ16Z	532nt	5.1eNegative09	120	362	481	Positive	75.00	UCD_contig_1	961267	961386
HISWH7H02GBZ00	470nt	2.9eNegative14	69	448	380	Negative	85.51	UCD_contig_1	882980	883048
HISWH7H02IE1RE	488nt	4.2eNegative13	58	61	118	Positive	87.93	UCD_contig_1	571907	571964
HISWH7H02IE1RE	488nt	2.7eNegative18	106	156	51	Negative	81.13	UCD_contig_1	279186	279291
HISWH7H02IE1RE	488nt	8.7eNegative11	54	114	61	Negative	87.04	UCD_contig_1	1302975	1303028
HISWH7H02G5NIT	546nt	1.0eNegative21	124	292	415	Positive	80.65	UCD_contig_1	290772	290895
HISWH7H02FL1BT	580nt	2.5eNegative15	77	372	296	Negative	84.42	UCD_contig_1	3329576	3329652
HISWH7H02J2BLO	349nt	1.0eNegative16	172	12	183	Positive	75.00	UCD_contig_1	1636173	1636344
HISWH7H02GBNEN	502nt	1.9eNegative19	93	15	107	Positive	83.87	UCD_contig_1	3079634	3079726
HISWH7H02JT0NV	593nt	5.2eNegative13	181	1	181	Positive	73.48	UCD_contig_1	2121652	2121832
HISWH7H02I8508	363nt	1.2eNegative12	45	16	60	Positive	93.33	UCD_contig_1	784672	784716
HISWH7H02J0K0H	451nt	8.5eNegative22	361	79	439	Positive	71.47	UCD_contig_1	387624	387984
HISWH7H02G0NXQ	416nt	1.0eNegative09	298	75	372	Positive	70.13	UCD_contig_1	1036759	1037056
HISWH7H02HO5XX	497nt	2.3eNegative11	67	91	25	Negative	83.58	UCD_contig_1	961245	961311
HISWH7H02HO5XX	497nt	3.7eNegative06	58	92	35	Negative	81.03	UCD_contig_1	1741455	1741512
HISWH7H02J5K5Q	463nt	9.1eNegative07	107	3	109	Positive	74.77	UCD_contig_1	2905675	2905781
HISWH7H02IBXAM	586nt	8.6eNegative19	59	474	416	Negative	93.22	UCD_contig_1	398772	398830
HISWH7H02I1FO8	514nt	3.1eNegative14	96	143	48	Negative	80.21	UCD_contig_1	1049138	1049233
HISWH7H02GBE9V	512nt	7.8eNegative04	57	68	124	Positive	78.95	UCD_contig_1	2237854	2237910
HISWH7H02I2OMA	578nt	4.3eNegative06	58	92	35	Negative	81.03	UCD_contig_1	1741455	1741512
HISWH7H02H9XSN	482nt	2.5eNegative07	64	394	457	Positive	82.81	UCD_contig_1	880421	880483
HISWH7H02GH12R	602nt	5.3eNegative13	181	1	181	Positive	73.48	UCD_contig_1	2121652	2121832
HISWH7H02G26DO	491nt	1.4eNegative05	45	430	474	Positive	84.44	UCD_contig_1	1159030	1159074
HISWH7H02GE1IB	646nt	2.4eNegative08	185	91	275	Positive	71.89	UCD_contig_1	387186	387370
HISWH7H02HZFNH	399nt	5.8eNegative19	128	239	366	Positive	78.91	UCD_contig_1	961249	961376
HISWH7H02HZFNH	399nt	3.4eNegative13	130	237	366	Positive	76.15	UCD_contig_1	1741458	1741587
HISWH7H02HZFNH	399nt	2.8eNegative21	126	241	366	Positive	80.16	UCD_contig_1	897427	897552
HISWH7H02IXUR8	540nt	2.2eNegative04	43	469	427	Negative	83.72	UCD_contig_1	1636174	1636216
HISWH7H02JFVE2	696nt	3.0eNegative15	176	464	639	Positive	75.14	UCD_contig_1	882872	883048
HISWH7H02JSJ4W	489nt	1.2eNegative24	219	245	27	Negative	75.34	UCD_contig_1	2836434	2836652
HISWH7H02HB0DM	576nt	4.0eNegative36	125	289	165	Negative	87.20	UCD_contig_1	2135822	2135946
HISWH7H02J5RH5	516nt	9.2eNegative11	156	205	50	Negative	73.72	UCD_contig_1	1096998	1097153
HISWH7H02GVYL3	529nt	1.7eNegative12	117	461	345	Negative	76.92	UCD_contig_1	924711	924827
HISWH7H02G65WI	684nt	7.0eNegative20	106	300	405	Positive	82.08	UCD_contig_1	282999	283104
HISWH7H02F97Z4	474nt	5.0eNegative05	77	311	387	Positive	76.62	UCD_contig_1	180599	180675
HISWH7H02F97Z4	474nt	3.5eNegative06	40	348	309	Negative	87.50	UCD_contig_1	253257	253296
HISWH7H02H1IYW	586nt	8.6eNegative19	119	240	122	Negative	79.83	UCD_contig_1	305595	305713
HISWH7H02F5H9E	551nt	7.3eNegative23	179	180	2	Negative	77.09	UCD_contig_1	399924	400099
HISWH7H02H4EVM	446nt	3.5eNegative17	110	120	11	Negative	80.00	UCD_contig_1	1636111	1636220
HISWH7H02H8ETZ	423nt	2.2eNegative07	70	399	330	Negative	81.43	UCD_contig_1	3308327	3308395
HISWH7H02I2OSL	577nt	9.0eNegative30	144	260	403	Positive	81.94	UCD_contig_1	1035093	1035236
HISWH7H02H53CE	704nt	1.4eNegative06	80	503	424	Negative	77.50	UCD_contig_1	1049947	1050026
HISWH7H02JU1B9	305nt	1.6eNegative33	234	246	13	Negative	76.92	UCD_contig_1	1036707	1036940
HISWH7H02FR0YU	563nt	1.1eNegative06	65	273	337	Positive	80.00	UCD_contig_1	1191647	1191711
HISWH7H02FT9AB	666nt	2.9eNegative15	110	199	90	Negative	79.09	UCD_contig_1	1035777	1035886
HISWH7H02FWUMF	472nt	1.3eNegative05	42	45	4	Negative	85.71	UCD_contig_1	850603	850644
HISWH7H02FNKS4	486nt	1.1eNegative13	107	300	194	Negative	78.50	UCD_contig_1	711665	711771
HISWH7H02JKOJ1	481nt	2.5eNegative07	54	243	296	Positive	83.33	UCD_contig_1	1550762	1550815
HISWH7H02GPFIM	562nt	8.2eNegative19	186	8	193	Positive	76.47	UCD_contig_1	1509099	1509284
HISWH7H02HY0KI	476nt	4.8eNegative20	235	36	270	Positive	73.62	UCD_contig_1	1741459	1741693
HISWH7H02HY0KI	476nt	7.6eNegative15	127	43	169	Positive	77.17	UCD_contig_1	961255	961381
HISWH7H02FMNOR	617nt	1.6eNegative09	184	304	487	Positive	72.97	UCD_contig_1	2092622	2092806
HISWH7H02I67RE	418nt	5.2eNegative12	41	11	51	Positive	95.12	UCD_contig_1	655952	655992
HISWH7H02HUQ7E	545nt	1.5eNegative20	113	483	371	Negative	81.42	UCD_contig_1	1509041	1509153
HISWH7H02HA2RU	716nt	2.4eNegative12	48	307	260	Negative	91.67	UCD_contig_1	1099195	1099242
HISWH7H02GMI9R	499nt	1.3eNegative09	43	38	80	Positive	90.70	UCD_contig_1	1190877	1190919
HISWH7H02GMI9R	499nt	4.8eNegative09	75	76	2	Negative	80.00	UCD_contig_1	1847885	1847959
HISWH7H02G27VD	588nt	1.8eNegative16	70	371	302	Negative	87.14	UCD_contig_1	879179	879248
HISWH7H02G5CXA	552nt	1.5eNegative20	92	33	124	Positive	84.78	UCD_contig_1	1049196	1049287
HISWH7H02JXTOA	401nt	4.7eNegative27	193	375	183	Negative	77.20	UCD_contig_1	3378984	3379176
HISWH7H02JXTOA	401nt	4.0eNegative20	241	361	121	Negative	73.44	UCD_contig_1	2213239	2213479
HISWH7H02JXTOA	401nt	2.7eNegative10	47	260	214	Negative	89.36	UCD_contig_1	2191128	2191174
HISWH7H02JXTOA	401nt	1.5eNegative19	105	314	210	Negative	81.90	UCD_contig_1	3248224	3248328
HISWH7H02JXTOA	401nt	3.0eNegative06	64	258	195	Negative	79.69	UCD_contig_1	3169420	3169483
HISWH7H02J4BJM	468nt	1.2eNegative09	43	455	413	Negative	90.70	UCD_contig_1	1453244	1453286
HISWH7H02GNFLV	590nt	1.2eNegative17	189	304	116	Negative	74.60	UCD_contig_1	879656	879844
HISWH7H02HHCC9	561nt	2.9eNegative07	57	93	37	Negative	82.46	UCD_contig_1	1741456	1741512
HISWH7H02HHCC9	561nt	2.4eNegative15	68	268	201	Negative	86.76	UCD_contig_1	961070	961137
HISWH7H02HJ0PT	478nt	2.5eNegative07	48	384	431	Positive	85.42	UCD_contig_1	505214	505261
HISWH7H02FZ778	550nt	2.3eNegative15	184	4	187	Positive	74.46	UCD_contig_1	387262	387442
HISWH7H02IWGU5	539nt	1.2eNegative13	110	260	369	Positive	78.18	UCD_contig_1	879735	879844
HISWH7H02F8KS0	478nt	2.0eNegative15	56	467	412	Negative	91.07	UCD_contig_1	3331351	3331406
HISWH7H02J0VKE	578nt	1.3eNegative13	107	28	134	Positive	78.50	UCD_contig_1	1163952	1164058
HISWH7H02JXR44	451nt	4.8eNegative05	86	451	366	Negative	75.58	UCD_contig_1	387265	387350
HISWH7H02G5JBV	382nt	2.0eNegative07	51	258	208	Negative	84.31	UCD_contig_1	1016189	1016239
HISWH7H02GN61F	580nt	7.2eNegative12	113	135	23	Negative	76.99	UCD_contig_1	1163753	1163865
HISWH7H02HV01K	603nt	6.8eNegative16	126	345	220	Negative	77.78	UCD_contig_1	3013136	3013261
HISWH7H02HDYIW	600nt	1.7eNegative05	45	74	118	Positive	84.44	UCD_contig_1	283428	283472
HISWH7H02HBDLC	611nt	9.3eNegative04	48	353	400	Positive	81.25	UCD_contig_1	840743	840790
HISWH7H02GDWC4	482nt	4.2eNegative13	49	81	129	Positive	91.84	UCD_contig_1	879914	879962
HISWH7H02HRP0F	601nt	1.3eNegative17	186	308	123	Negative	74.73	UCD_contig_1	1096964	1097149
HISWH7H02JVCTW	548nt	5.3eNegative09	48	384	431	Positive	87.50	UCD_contig_1	880859	880906
HISWH7H02JW7IO	530nt	2.5eNegative11	49	482	530	Positive	89.80	UCD_contig_1	2122189	2122237
HISWH7H02JWBUK	399nt	6.0eNegative04	54	78	25	Negative	79.63	UCD_contig_1	511872	511925
HISWH7H02JTVHY	416nt	8.6eNegative18	190	132	321	Positive	75.26	UCD_contig_1	879656	879844
HISWH7H02J0SXD	243nt	7.7eNegative13	84	138	221	Positive	80.95	UCD_contig_1	1404699	1404782
HISWH7H02FVUV5	696nt	3.3eNegative11	52	314	263	Negative	88.46	UCD_contig_1	879309	879360
HISWH7H02H0CW9	504nt	3.7eNegative06	43	261	303	Positive	86.05	UCD_contig_1	3169317	3169359
HISWH7H02FLYQL	649nt	5.7eNegative13	43	508	550	Positive	95.35	UCD_contig_1	1076528	1076570
HISWH7H02HFZJF	550nt	8.4eNegative04	69	381	313	Negative	76.81	UCD_contig_1	1762736	1762804
HISWH7H02GYUGV	573nt	3.9eNegative10	53	203	151	Negative	86.79	UCD_contig_1	2122316	2122368
HISWH7H02J3LSW	579nt	6.2eNegative05	44	424	467	Positive	84.09	UCD_contig_1	1453134	1453177
HISWH7H02JQ60K	578nt	2.3eNegative04	65	289	353	Positive	80.00	UCD_contig_1	880842	880905
HISWH7H02JLR4X	500nt	1.8eNegative08	41	379	339	Negative	90.24	UCD_contig_1	593328	593368
HISWH7H02IEWM8	530nt	9.4eNegative11	69	147	79	Negative	82.61	UCD_contig_1	882980	883048
HISWH7H02HYBY1	478nt	6.6eNegative08	145	314	458	Positive	73.10	UCD_contig_1	1636093	1636237
HISWH7H02JTADJ	526nt	2.2eNegative15	92	256	347	Positive	81.52	UCD_contig_1	2122760	2122851
HISWH7H02FQEK4	480nt	1.2eNegative09	76	83	8	Negative	80.26	UCD_contig_1	880444	880519
HISWH7H02HZE3Z	435nt	3.8eNegative13	214	298	85	Negative	72.43	UCD_contig_1	2337127	2337340
HISWH7H02HZE3Z	435nt	2.0eNegative11	55	298	244	Negative	87.27	UCD_contig_1	3306015	3306069
HISWH7H02JF9LC	409nt	4.3eNegative05	50	259	308	Positive	82.00	UCD_contig_1	1143921	1143970
HISWH7H02FTEQU	437nt	2.0eNegative11	52	81	132	Positive	88.46	UCD_contig_1	1625451	1625502
