ReadName	ReadLength	EReversevalue	AlignmentLength	Begin	End	Strand	Identity	ReferenceSequenceName	Begin	End
HISWH7H02GIG2V	223nt	1.0eNegative37	124	124	1	Negative	88.80	UCD_contig_1	1004315	1004439
HISWH7H02HETOZ	169nt	9.2eNegative30	167	3	169	Positive	79.64	UCD_contig_1	2790086	2790252
HISWH7H02FRJJ5	234nt	6.7eNegative17	88	1	88	Positive	82.95	UCD_contig_1	366740	366827
HISWH7H02HROJJ	373nt	9.4eNegative10	58	41	98	Positive	84.48	UCD_contig_1	2888052	2888109
HISWH7H02IGOZG	203nt	2.9eNegative04	51	71	121	Positive	80.39	UCD_contig_1	3208661	3208711
HISWH7H02HDR8O	367nt	5.4eNegative45	218	150	367	Positive	81.82	UCD_contig_1	397428	397647
HISWH7H02JGJIP	129nt	4.2eNegative09	116	119	4	Negative	75.00	UCD_contig_1	897503	897618
HISWH7H02GW3XM	166nt	2.3eNegative19	65	65	1	Negative	90.77	UCD_contig_1	2848627	2848691
HISWH7H02G56FN	200nt	7.0eNegative35	155	42	196	Positive	82.58	UCD_contig_1	299650	299804
HISWH7H02GWG5M	353nt	1.8eNegative07	48	62	15	Negative	85.42	UCD_contig_1	1629107	1629154
HISWH7H02HSURH	428nt	7.3eNegative26	98	337	240	Negative	86.73	UCD_contig_1	3179426	3179523
HISWH7H02GZ288	505nt	3.8eNegative06	64	432	495	Positive	81.54	UCD_contig_1	2336672	2336736
HISWH7H02IP1QL	409nt	6.2eNegative04	47	197	243	Positive	87.23	UCD_contig_1	3054574	3054618
HISWH7H02GLOOV	467nt	1.2eNegative09	73	73	1	Negative	80.82	UCD_contig_1	650056	650128
HISWH7H02GKFYL	333nt	3.1eNegative09	42	253	212	Negative	90.48	UCD_contig_1	2848751	2848792
HISWH7H02INU1K	423nt	2.8eNegative51	320	398	79	Negative	77.95	UCD_contig_1	421374	421693
HISWH7H02F6WPG	357nt	8.9eNegative10	73	82	154	Positive	80.82	UCD_contig_1	3388936	3389008
HISWH7H02FOVOB	505nt	4.4eNegative13	82	353	272	Negative	83.13	UCD_contig_1	2563548	2563630
HISWH7H02JW6YG	325nt	1.9eNegative14	234	92	325	Positive	72.22	UCD_contig_1	1105200	1105433
HISWH7H02JW6YG	325nt	4.0eNegative38	209	312	104	Negative	79.43	UCD_contig_1	718902	719110
HISWH7H02FPET8	432nt	1.7eNegative19	141	3	143	Positive	78.01	UCD_contig_1	975714	975854
HISWH7H02GNRN2	231nt	4.9eNegative29	170	33	202	Positive	80.00	UCD_contig_1	1036751	1036919
HISWH7H02JYZ9W	215nt	4.7eNegative14	116	61	176	Positive	77.59	UCD_contig_1	3003782	3003897
HISWH7H02JYZ9W	215nt	3.0eNegative45	176	176	1	Negative	84.09	UCD_contig_1	1444386	1444561
HISWH7H02G4JNH	418nt	3.1eNegative06	52	182	131	Negative	82.69	UCD_contig_1	3093670	3093721
HISWH7H02GZZ1L	554nt	1.3eNegative13	83	13	95	Positive	81.93	UCD_contig_1	1368897	1368979
HISWH7H02JWO92	292nt	9.3eNegative13	57	292	236	Negative	87.72	UCD_contig_1	2914002	2914058
HISWH7H02IGT7I	370nt	1.2eNegative12	96	207	112	Negative	79.17	UCD_contig_1	623192	623287
HISWH7H02G0A2M	593nt	2.4eNegative138	593	1	593	Positive	81.14	UCD_contig_1	833587	834180
HISWH7H02G0A2M	593nt	1.1eNegative10	63	415	477	Positive	84.13	UCD_contig_1	1445084	1445146
HISWH7H02G0A2M	593nt	3.6eNegative14	81	407	487	Positive	82.72	UCD_contig_1	1444257	1444337
HISWH7H02G0A2M	593nt	3.9eNegative185	593	593	1	Negative	85.69	UCD_contig_1	2800903	2801496
HISWH7H02G0A2M	593nt	5.5eNegative24	209	487	279	Negative	75.60	UCD_contig_1	3003946	3004154
HISWH7H02G0A2M	593nt	2.4eNegative04	64	495	432	Negative	78.12	UCD_contig_1	1576794	1576857
HISWH7H02G0A2M	593nt	2.2eNegative08	107	492	386	Negative	75.70	UCD_contig_1	1577574	1577680
HISWH7H02G0A2M	593nt	1.2eNegative06	47	325	279	Negative	85.11	UCD_contig_1	3003289	3003335
