ReadName	ReadLength	EReversevalue	AlignmentLength	Begin	End	Strand	Identity	ReferenceSequenceName	Begin	End
scu|AustralStromDNAMic2009_01260	536nt	1.5eNegative05	51	426	476	Positive	82.35	UCD_contig_1	879310	879360
scu|AustralStromDNAMic2009_01412	540nt	3.0eNegative18	115	163	277	Positive	80.00	UCD_contig_1	879730	879844
scu|AustralStromDNAMic2009_01548	453nt	2.1eNegative11	43	217	259	Positive	93.02	UCD_contig_1	1098853	1098895
scu|AustralStromDNAMic2009_05229	364nt	5.8eNegative15	49	71	119	Positive	93.88	UCD_contig_1	879914	879962
scu|AustralStromDNAMic2009_07011	549nt	5.6eNegative20	55	395	341	Negative	96.36	UCD_contig_1	879908	879962
scu|AustralStromDNAMic2009_07676	514nt	5.2eNegative20	55	480	426	Negative	96.36	UCD_contig_1	879908	879962
scu|AustralStromDNAMic2009_12011	529nt	2.3eNegative15	104	240	343	Positive	79.81	UCD_contig_1	2815488	2815591
scu|AustralStromDNAMic2009_12400	483nt	3.2eNegative10	65	111	47	Negative	83.08	UCD_contig_1	2121656	2121720
scu|AustralStromDNAMic2009_16929	483nt	8.6eNegative11	69	229	161	Negative	82.61	UCD_contig_1	882980	883048
scu|AustralStromDNAMic2009_17204	503nt	9.9eNegative07	41	80	40	Negative	87.80	UCD_contig_1	2036839	2036879
scu|AustralStromDNAMic2009_17656	507nt	9.0eNegative11	51	200	250	Positive	88.24	UCD_contig_1	1634785	1634835
scu|AustralStromDNAMic2009_18006	152nt	1.9eNegative08	97	46	142	Positive	76.29	UCD_contig_1	577299	577395
scu|AustralStromDNAMic2009_18293	512nt	1.3eNegative09	67	77	11	Negative	82.09	UCD_contig_1	2036839	2036905
scu|AustralStromDNAMic2009_19619	400nt	2.2eNegative18	191	25	215	Positive	77.20	UCD_contig_1	879656	879845
scu|AustralStromDNAMic2009_21177	536nt	9.6eNegative11	69	340	408	Positive	82.61	UCD_contig_1	882980	883048
scu|AustralStromDNAMic2009_21489	435nt	7.0eNegative15	49	399	351	Negative	93.88	UCD_contig_1	879914	879962
scu|AustralStromDNAMic2009_22609	489nt	8.7eNegative11	69	234	302	Positive	82.61	UCD_contig_1	882980	883048
scu|AustralStromDNAMic2009_24901	558nt	4.9eNegative13	115	534	420	Negative	77.39	UCD_contig_1	879730	879844
scu|AustralStromDNAMic2009_25127	484nt	1.1eNegative13	41	484	444	Negative	97.56	UCD_contig_1	879922	879962
scu|AustralStromDNAMic2009_29004	535nt	1.8eNegative12	69	206	274	Positive	84.06	UCD_contig_1	882980	883048
scu|AustralStromDNAMic2009_29496	427nt	1.5eNegative08	47	255	209	Negative	87.23	UCD_contig_1	1163765	1163811
scu|AustralStromDNAMic2009_29606	521nt	1.2eNegative13	149	139	287	Positive	75.17	UCD_contig_1	2135798	2135946
scu|AustralStromDNAMic2009_29966	76nt	6.0eNegative10	42	58	17	Negative	90.48	UCD_contig_1	3171100	3171141
scu|AustralStromDNAMic2009_30855	499nt	1.8eNegative08	41	161	201	Positive	90.24	UCD_contig_1	879208	879248
scu|AustralStromDNAMic2009_31834	391nt	8.9eNegative14	188	72	259	Positive	74.07	UCD_contig_1	879656	879844
scu|AustralStromDNAMic2009_34719	104nt	2.5eNegative06	42	102	61	Negative	85.71	UCD_contig_1	387634	387675
scu|AustralStromDNAMic2009_35218	482nt	1.9eNegative19	219	264	482	Positive	74.55	UCD_contig_1	920528	920747
scu|AustralStromDNAMic2009_35457	477nt	8.5eNegative11	69	304	236	Negative	82.61	UCD_contig_1	882980	883048
scu|AustralStromDNAMic2009_36945	540nt	9.6eNegative11	69	114	182	Positive	82.61	UCD_contig_1	882980	883048
scu|AustralStromDNAMic2009_37973	518nt	4.5eNegative13	115	262	148	Negative	77.39	UCD_contig_1	879730	879844
scu|AustralStromDNAMic2009_37994	509nt	5.4eNegative05	80	129	50	Negative	76.25	UCD_contig_1	1036978	1037057
